id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
49,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""درگز""}",5256,درگز,1
50,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بجنورد""}",5257,بجنورد,1
51,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بيرجند""}",5258,بيرجند,1
52,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""راز و جرگلان""}",5259,راز و جرگلان,1
53,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""نيشابور""}",5260,نيشابور,1
54,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""تربت حيدريه""}",5261,تربت حيدريه,1
55,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""سرخس""}",5262,سرخس,1
56,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كاشمر""}",5263,كاشمر,1
57,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""قوچان""}",5264,قوچان,1
58,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""مانه و سملقان""}",5265,مانه و سملقان,1
59,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""چناران""}",5266,چناران,1
60,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""فردوس""}",5267,فردوس,1
61,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""نهبندان""}",5268,نهبندان,1
62,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""قاين""}",5269,قاين,1
63,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خواف""}",5270,خواف,1
64,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""شيروان""}",5271,شيروان,1
65,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""فريمان""}",5272,فريمان,1
66,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""اسفراين""}",5273,اسفراين,1
67,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بردسكن""}",5274,بردسكن,1
68,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""جاجرم""}",5275,جاجرم,1
69,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گزيك""}",5281,گزيك,1
70,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""غلامان""}",5285,غلامان,1
71,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""اسلاميه""}",5286,اسلاميه,1
72,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""آشخانه""}",5287,آشخانه,1
